ClassCode,ClassName,ProductCode,ProductName
101917,Dispositivos para control de plagas,10191707,Repelente ultrasónico de pestes
102015,Rosales vivos azules o lavanda o púrpura,10201501,Rosal vivo allure o sterling 95
102015,Rosales vivos azules o lavanda o púrpura,10201502,Rosal vivo amnesia
102015,Rosales vivos azules o lavanda o púrpura,10201503,Rosal vivo augusta louise
102015,Rosales vivos azules o lavanda o púrpura,10201504,Rosal vivo avant garde
102015,Rosales vivos azules o lavanda o púrpura,10201505,Rosal vivo blue bird
102015,Rosales vivos azules o lavanda o púrpura,10201506,Rosal vivo curiosa
102015,Rosales vivos azules o lavanda o púrpura,10201507,Rosal vivo cool water
102015,Rosales vivos azules o lavanda o púrpura,10201508,Rosal vivo delilah
102015,Rosales vivos azules o lavanda o púrpura,10201509,Rosal vivo double party
102015,Rosales vivos azules o lavanda o púrpura,10201510,Rosal vivo faith
102015,Rosales vivos azules o lavanda o púrpura,10201511,Rosal vivo mami blue o mammy blue
102015,Rosales vivos azules o lavanda o púrpura,10201512,Rosal vivo marítimo
102015,Rosales vivos azules o lavanda o púrpura,10201513,Rosal vivo milano
102015,Rosales vivos azules o lavanda o púrpura,10201514,Rosal vivo mistery
102015,Rosales vivos azules o lavanda o púrpura,10201515,Rosal vivo ocean song o boyfriend
102015,Rosales vivos azules o lavanda o púrpura,10201516,Rosal vivo cezanne púrpura
102015,Rosales vivos azules o lavanda o púrpura,10201517,Rosal vivo purple fragrance
102015,Rosales vivos azules o lavanda o púrpura,10201518,Rosal vivo sanaa
102015,Rosales vivos azules o lavanda o púrpura,10201519,Rosal vivo silverstone
102015,Rosales vivos azules o lavanda o púrpura,10201520,Rosal vivo soulmate
102015,Rosales vivos azules o lavanda o púrpura,10201521,Rosal vivo stranger
102015,Rosales vivos azules o lavanda o púrpura,10201522,Rosal vivo tinted blue
102015,Rosales vivos azules o lavanda o púrpura,10201523,Rosal vivo two faces
102016,Rosales vivos chocolate o marrón,10201601,Rosal vivo black lava
102016,Rosales vivos chocolate o marrón,10201602,Rosal vivo cimarron
102016,Rosales vivos chocolate o marrón,10201603,Rosal vivo coffee break
102016,Rosales vivos chocolate o marrón,10201604,Rosal vivo estelle
102016,Rosales vivos chocolate o marrón,10201605,Rosal vivo gypsy leonidas
102016,Rosales vivos chocolate o marrón,10201606,Rosal vivo leonidas
102016,Rosales vivos chocolate o marrón,10201607,Rosal vivo matilda
102016,Rosales vivos chocolate o marrón,10201608,Rosal vivo sunny leonidas
102016,Rosales vivos chocolate o marrón,10201609,Rosal vivo terra nostra
102016,Rosales vivos chocolate o marrón,10201610,Rosal vivo terracotta
102017,Rosales vivos crema,10201701,Rosal vivo advenire
102017,Rosales vivos crema,10201702,Rosal vivo alex
102017,Rosales vivos crema,10201703,Rosal vivo antique brass
102017,Rosales vivos crema,10201704,Rosal vivo aubade
102017,Rosales vivos crema,10201705,Rosal vivo beach
102017,Rosales vivos crema,10201706,Rosal vivo belle pearl
102017,Rosales vivos crema,10201707,Rosal vivo blush de los andes
102017,Rosales vivos crema,10201708,Rosal vivo camel
102017,Rosales vivos crema,10201709,Rosal vivo caramel antike o caramel antique
102017,Rosales vivos crema,10201710,Rosal vivo champagne
102017,Rosales vivos crema,10201711,Rosal vivo clear ocean
102017,Rosales vivos crema,10201712,Rosal vivo combo
102017,Rosales vivos crema,10201713,Rosal vivo creme de la creme
102017,Rosales vivos crema,10201714,Rosal vivo emanuella
102017,Rosales vivos crema,10201715,Rosal vivo evolution
102017,Rosales vivos crema,10201716,Rosal vivo fedora
102017,Rosales vivos crema,10201717,Rosal vivo fenice
102017,Rosales vivos crema,10201718,Rosal vivo french vanilla
102017,Rosales vivos crema,10201719,Rosal vivo hollywood
102017,Rosales vivos crema,10201720,Rosal vivo ilios
102017,Rosales vivos crema,10201721,Rosal vivo jelena
102017,Rosales vivos crema,10201722,Rosal vivo kameleon
102017,Rosales vivos crema,10201723,Rosal vivo kentucky
102017,Rosales vivos crema,10201724,Rosal vivo kings pride
102017,Rosales vivos crema,10201725,Rosal vivo latin fusion
102017,Rosales vivos crema,10201726,Rosal vivo lemon dream
102017,Rosales vivos crema,10201727,Rosal vivo magic moka
102017,Rosales vivos crema,10201728,Rosal vivo mamamia
102017,Rosales vivos crema,10201729,Rosal vivo message
102017,Rosales vivos crema,10201730,Rosal vivo muneca o munieca
102017,Rosales vivos crema,10201731,Rosal vivo parfum de rosas
102017,Rosales vivos crema,10201732,Rosal vivo porcelina
102017,Rosales vivos crema,10201733,Rosal vivo privilege
102017,Rosales vivos crema,10201734,Rosal vivo quicksand
102017,Rosales vivos crema,10201735,Rosal vivo rollercoaster
102017,Rosales vivos crema,10201736,Rosal vivo romantic curiosa
102017,Rosales vivos crema,10201737,Rosal vivo safari
102017,Rosales vivos crema,10201738,Rosal vivo sahara
102017,Rosales vivos crema,10201739,Rosal vivo sandy femma
102017,Rosales vivos crema,10201740,Rosal vivo talea
102017,Rosales vivos crema,10201741,Rosal vivo timeless
102017,Rosales vivos crema,10201742,Rosal vivo transition
102017,Rosales vivos crema,10201743,Rosal vivo trump
102017,Rosales vivos crema,10201744,Rosal vivo twin
102017,Rosales vivos crema,10201745,Rosal vivo vendela
102017,Rosales vivos crema,10201746,Rosal vivo virginia
102018,Rosales vivos verdes o lima,10201801,Rosal vivo amandine
102018,Rosales vivos verdes o lima,10201802,Rosal vivo caipirinha
102018,Rosales vivos verdes o lima,10201803,Rosal vivo green fashion
102018,Rosales vivos verdes o lima,10201804,Rosal vivo green tea
102018,Rosales vivos verdes o lima,10201805,Rosal vivo jade
102018,Rosales vivos verdes o lima,10201806,Rosal vivo limbo
102018,Rosales vivos verdes o lima,10201807,Rosal vivo limena o limenia
102018,Rosales vivos verdes o lima,10201808,Rosal vivo limona
102018,Rosales vivos verdes o lima,10201809,Rosal vivo old dutch
102018,Rosales vivos verdes o lima,10201810,Rosal vivo super green
102018,Rosales vivos verdes o lima,10201811,Rosal vivo sweet green
102018,Rosales vivos verdes o lima,10201812,Rosal vivo viva
102018,Rosales vivos verdes o lima,10201813,Rosal vivo zazu
102019,Rosales vivos rosado claro,10201901,Rosal vivo anna
102019,Rosales vivos rosado claro,10201902,Rosal vivo bella vita
102019,Rosales vivos rosado claro,10201903,Rosal vivo bridal dream
102019,Rosales vivos rosado claro,10201904,Rosal vivo candy bianca
102019,Rosales vivos rosado claro,10201905,Rosal vivo caress
102019,Rosales vivos rosado claro,10201906,Rosal vivo carolina 
102019,Rosales vivos rosado claro,10201907,Rosal vivo climax 
102019,Rosales vivos rosado claro,10201908,Rosal vivo danny 
102019,Rosales vivos rosado claro,10201909,Rosal vivo dolce vita 
102019,Rosales vivos rosado claro,10201910,Rosal vivo elite
102019,Rosales vivos rosado claro,10201911,Rosal vivo emma
102019,Rosales vivos rosado claro,10201912,Rosal vivo engagement
102019,Rosales vivos rosado claro,10201913,Rosal vivo esther
102019,Rosales vivos rosado claro,10201914,Rosal vivo excalibur
102019,Rosales vivos rosado claro,10201915,Rosal vivo exciting
102019,Rosales vivos rosado claro,10201916,Rosal vivo first lady
102019,Rosales vivos rosado claro,10201917,Rosal vivo geraldine
102019,Rosales vivos rosado claro,10201918,Rosal vivo gotcha
102019,Rosales vivos rosado claro,10201919,Rosal vivo harmonie
102019,Rosales vivos rosado claro,10201920,Rosal vivo heaven
102019,Rosales vivos rosado claro,10201921,Rosal vivo high and elegant
102019,Rosales vivos rosado claro,10201922,Rosal vivo katherine
102019,Rosales vivos rosado claro,10201923,Rosal vivo king kong
102019,Rosales vivos rosado claro,10201924,Rosal vivo livia
102019,Rosales vivos rosado claro,10201925,Rosal vivo lorena
102019,Rosales vivos rosado claro,10201926,Rosal vivo lovely
102019,Rosales vivos rosado claro,10201927,Rosal vivo maaike
102019,Rosales vivos rosado claro,10201928,Rosal vivo marilyn
102019,Rosales vivos rosado claro,10201929,Rosal vivo marlise
102019,Rosales vivos rosado claro,10201930,Rosal vivo miranda o ausimmon
102019,Rosales vivos rosado claro,10201931,Rosal vivo mona lisa
102019,Rosales vivos rosado claro,10201932,Rosal vivo nirvana
102019,Rosales vivos rosado claro,10201933,Rosal vivo o hara
102019,Rosales vivos rosado claro,10201934,Rosal vivo ole
102019,Rosales vivos rosado claro,10201935,Rosal vivo olga
102019,Rosales vivos rosado claro,10201936,Rosal vivo pacífica
102019,Rosales vivos rosado claro,10201937,Rosal vivo party mix
102019,Rosales vivos rosado claro,10201938,Rosal vivo peckoubo o pekcoubo
102019,Rosales vivos rosado claro,10201939,Rosal vivo phoebe o ausnotice
102019,Rosales vivos rosado claro,10201940,Rosal vivo pink farfalla
